FECHA;FESTIVO;DIA DE LA SEMANA
2021-01-01;NO;Viernes
2021-01-02;NO;Sabado
2021-01-03;SI;Domingo
2021-01-04;NO;Lunes
2021-01-05;NO;Martes
2021-01-06;NO;Miercoles
2021-01-07;NO;Jueves
2021-01-08;NO;Viernes
2021-01-09;NO;Sabado
2021-01-10;SI;Domingo
2021-01-11;NO;Lunes
2021-01-12;NO;Martes
2021-01-13;NO;Miercoles
2021-01-14;NO;Jueves
2021-01-15;NO;Viernes
2021-01-16;NO;Sabado
2021-01-17;SI;Domingo
2021-01-18;NO;Lunes
2021-01-19;NO;Martes
2021-01-20;NO;Miercoles
2021-01-21;NO;Jueves
2021-01-22;NO;Viernes
2021-01-23;NO;Sabado
2021-01-24;SI;Domingo
2021-01-25;NO;Lunes
2021-01-26;NO;Martes
2021-01-27;NO;Miercoles
2021-01-28;NO;Jueves
2021-01-29;NO;Viernes
2021-01-30;NO;Sabado
2021-01-31;SI;Domingo
2021-02-01;NO;Lunes
2021-02-02;NO;Martes
2021-02-03;NO;Miercoles
2021-02-04;NO;Jueves
2021-02-05;NO;Viernes
2021-02-06;NO;Sabado
2021-02-07;SI;Domingo
2021-02-08;NO;Lunes
2021-02-09;NO;Martes
2021-02-10;NO;Miercoles
2021-02-11;NO;Jueves
2021-02-12;NO;Viernes
2021-02-13;NO;Sabado
2021-02-14;SI;Domingo
2021-02-15;NO;Lunes
2021-02-16;NO;Martes
2021-02-17;NO;Miercoles
2021-02-18;NO;Jueves
2021-02-19;NO;Viernes
2021-02-20;NO;Sabado
2021-02-21;SI;Domingo
2021-02-22;NO;Lunes
2021-02-23;NO;Martes
2021-02-24;NO;Miercoles
2021-02-25;NO;Jueves
2021-02-26;NO;Viernes
2021-02-27;NO;Sabado
2021-02-28;SI;Domingo
2021-03-01;NO;Lunes
2021-03-02;NO;Martes
2021-03-03;NO;Miercoles
2021-03-04;NO;Jueves
2021-03-05;NO;Viernes
2021-03-06;NO;Sabado
2021-03-07;SI;Domingo
2021-03-08;NO;Lunes
2021-03-09;NO;Martes
2021-03-10;NO;Miercoles
2021-03-11;NO;Jueves
2021-03-12;NO;Viernes
2021-03-13;NO;Sabado
2021-03-14;SI;Domingo
2021-03-15;NO;Lunes
2021-03-16;NO;Martes
2021-03-17;NO;Miercoles
2021-03-18;NO;Jueves
2021-03-19;NO;Viernes
2021-03-20;NO;Sabado
2021-03-21;SI;Domingo
2021-03-22;NO;Lunes
2021-03-23;NO;Martes
2021-03-24;NO;Miercoles
2021-03-25;NO;Jueves
2021-03-26;NO;Viernes
2021-03-27;NO;Sabado
2021-03-28;SI;Domingo
2021-03-29;NO;Lunes
2021-03-30;NO;Martes
2021-03-31;NO;Miercoles
2021-04-01;NO;Jueves
2021-04-02;NO;Viernes
2021-04-03;NO;Sabado
2021-04-04;SI;Domingo
2021-04-05;NO;Lunes
2021-04-06;NO;Martes
2021-04-07;NO;Miercoles
2021-04-08;NO;Jueves
2021-04-09;NO;Viernes
2021-04-10;NO;Sabado
2021-04-11;SI;Domingo
2021-04-12;NO;Lunes
2021-04-13;NO;Martes
2021-04-14;NO;Miercoles
2021-04-15;NO;Jueves
2021-04-16;NO;Viernes
2021-04-17;NO;Sabado
2021-04-18;SI;Domingo
2021-04-19;NO;Lunes
2021-04-20;NO;Martes
2021-04-21;NO;Miercoles
2021-04-22;NO;Jueves
2021-04-23;NO;Viernes
2021-04-24;NO;Sabado
2021-04-25;SI;Domingo
2021-04-26;NO;Lunes
2021-04-27;NO;Martes
2021-04-28;NO;Miercoles
2021-04-29;NO;Jueves
2021-04-30;NO;Viernes
2021-05-01;NO;Sabado
2021-05-02;SI;Domingo
2021-05-03;NO;Lunes
2021-05-04;NO;Martes
2021-05-05;NO;Miercoles
2021-05-06;NO;Jueves
2021-05-07;NO;Viernes
2021-05-08;NO;Sabado
2021-05-09;SI;Domingo
2021-05-10;NO;Lunes
2021-05-11;NO;Martes
2021-05-12;NO;Miercoles
2021-05-13;NO;Jueves
2021-05-14;NO;Viernes
2021-05-15;NO;Sabado
2021-05-16;SI;Domingo
2021-05-17;NO;Lunes
2021-05-18;NO;Martes
2021-05-19;NO;Miercoles
2021-05-20;NO;Jueves
2021-05-21;NO;Viernes
2021-05-22;NO;Sabado
2021-05-23;SI;Domingo
2021-05-24;NO;Lunes
2021-05-25;NO;Martes
2021-05-26;NO;Miercoles
2021-05-27;NO;Jueves
2021-05-28;NO;Viernes
2021-05-29;NO;Sabado
2021-05-30;SI;Domingo
2021-05-31;NO;Lunes
2021-06-01;NO;Martes
2021-06-02;NO;Miercoles
2021-06-03;NO;Jueves
2021-06-04;NO;Viernes
2021-06-05;NO;Sabado
2021-06-06;SI;Domingo
2021-06-07;NO;Lunes
2021-06-08;NO;Martes
2021-06-09;NO;Miercoles
2021-06-10;NO;Jueves
2021-06-11;NO;Viernes
2021-06-12;NO;Sabado
2021-06-13;SI;Domingo
2021-06-14;NO;Lunes
2021-06-15;NO;Martes
2021-06-16;NO;Miercoles
2021-06-17;NO;Jueves
2021-06-18;NO;Viernes
2021-06-19;NO;Sabado
2021-06-20;SI;Domingo
2021-06-21;NO;Lunes
2021-06-22;NO;Martes
2021-06-23;NO;Miercoles
2021-06-24;NO;Jueves
2021-06-25;NO;Viernes
2021-06-26;NO;Sabado
2021-06-27;SI;Domingo
2021-06-28;NO;Lunes
2021-06-29;NO;Martes
2021-06-30;NO;Miercoles
2021-07-01;NO;Jueves
2021-07-02;NO;Viernes
2021-07-03;NO;Sabado
2021-07-04;SI;Domingo
2021-07-05;NO;Lunes
2021-07-06;NO;Martes
2021-07-07;NO;Miercoles
2021-07-08;NO;Jueves
2021-07-09;NO;Viernes
2021-07-10;NO;Sabado
2021-07-11;SI;Domingo
2021-07-12;NO;Lunes
2021-07-13;NO;Martes
2021-07-14;NO;Miercoles
2021-07-15;NO;Jueves
2021-07-16;NO;Viernes
2021-07-17;NO;Sabado
2021-07-18;SI;Domingo
2021-07-19;NO;Lunes
2021-07-20;NO;Martes
2021-07-21;NO;Miercoles
2021-07-22;NO;Jueves
2021-07-23;NO;Viernes
2021-07-24;NO;Sabado
2021-07-25;SI;Domingo
2021-07-26;NO;Lunes
2021-07-27;NO;Martes
2021-07-28;NO;Miercoles
2021-07-29;NO;Jueves
2021-07-30;NO;Viernes
2021-07-31;NO;Sabado
2021-08-01;SI;Domingo
2021-08-02;NO;Lunes
2021-08-03;NO;Martes
2021-08-04;NO;Miercoles
2021-08-05;NO;Jueves
2021-08-06;NO;Viernes
2021-08-07;NO;Sabado
2021-08-08;SI;Domingo
2021-08-09;NO;Lunes
2021-08-10;NO;Martes
2021-08-11;NO;Miercoles
2021-08-12;NO;Jueves
2021-08-13;NO;Viernes
2021-08-14;NO;Sabado
2021-08-15;SI;Domingo
2021-08-16;NO;Lunes
2021-08-17;NO;Martes
2021-08-18;NO;Miercoles
2021-08-19;NO;Jueves
2021-08-20;NO;Viernes
2021-08-21;NO;Sabado
2021-08-22;SI;Domingo
2021-08-23;NO;Lunes
2021-08-24;NO;Martes
2021-08-25;NO;Miercoles
2021-08-26;NO;Jueves
2021-08-27;NO;Viernes
2021-08-28;NO;Sabado
2021-08-29;SI;Domingo
2021-08-30;NO;Lunes
2021-08-31;NO;Martes
2021-09-01;NO;Miercoles
2021-09-02;NO;Jueves
2021-09-03;NO;Viernes
2021-09-04;NO;Sabado
2021-09-05;SI;Domingo
2021-09-06;NO;Lunes
2021-09-07;NO;Martes
2021-09-08;NO;Miercoles
2021-09-09;NO;Jueves
2021-09-10;NO;Viernes
2021-09-11;NO;Sabado
2021-09-12;SI;Domingo
2021-09-13;NO;Lunes
2021-09-14;NO;Martes
2021-09-15;NO;Miercoles
2021-09-16;NO;Jueves
2021-09-17;NO;Viernes
2021-09-18;NO;Sabado
2021-09-19;SI;Domingo
2021-09-20;NO;Lunes
2021-09-21;NO;Martes
2021-09-22;NO;Miercoles
2021-09-23;NO;Jueves
2021-09-24;NO;Viernes
2021-09-25;NO;Sabado
2021-09-26;SI;Domingo
2021-09-27;NO;Lunes
2021-09-28;NO;Martes
2021-09-29;NO;Miercoles
2021-09-30;NO;Jueves
2021-10-01;NO;Viernes
2021-10-02;NO;Sabado
2021-10-03;SI;Domingo
2021-10-04;NO;Lunes
2021-10-05;NO;Martes
2021-10-06;NO;Miercoles
2021-10-07;NO;Jueves
2021-10-08;NO;Viernes
2021-10-09;NO;Sabado
2021-10-10;SI;Domingo
2021-10-11;NO;Lunes
2021-10-12;NO;Martes
2021-10-13;NO;Miercoles
2021-10-14;NO;Jueves
2021-10-15;NO;Viernes
2021-10-16;NO;Sabado
2021-10-17;SI;Domingo
2021-10-18;NO;Lunes
2021-10-19;NO;Martes
2021-10-20;NO;Miercoles
2021-10-21;NO;Jueves
2021-10-22;NO;Viernes
2021-10-23;NO;Sabado
2021-10-24;SI;Domingo
2021-10-25;NO;Lunes
2021-10-26;NO;Martes
2021-10-27;NO;Miercoles
2021-10-28;NO;Jueves
2021-10-29;NO;Viernes
2021-10-30;NO;Sabado
2021-10-31;SI;Domingo
2021-11-01;NO;Lunes
2021-11-02;NO;Martes
2021-11-03;NO;Miercoles
2021-11-04;NO;Jueves
2021-11-05;NO;Viernes
2021-11-06;NO;Sabado
2021-11-07;SI;Domingo
2021-11-08;NO;Lunes
2021-11-09;NO;Martes
2021-11-10;NO;Miercoles
2021-11-11;NO;Jueves
2021-11-12;NO;Viernes
2021-11-13;NO;Sabado
2021-11-14;SI;Domingo
2021-11-15;NO;Lunes
2021-11-16;NO;Martes
2021-11-17;NO;Miercoles
2021-11-18;NO;Jueves
2021-11-19;NO;Viernes
2021-11-20;NO;Sabado
2021-11-21;SI;Domingo
2021-11-22;NO;Lunes
2021-11-23;NO;Martes
2021-11-24;NO;Miercoles
2021-11-25;NO;Jueves
2021-11-26;NO;Viernes
2021-11-27;NO;Sabado
2021-11-28;SI;Domingo
2021-11-29;NO;Lunes
2021-11-30;NO;Martes
2021-12-01;NO;Miercoles
2021-12-02;NO;Jueves
2021-12-03;NO;Viernes
2021-12-04;NO;Sabado
2021-12-05;SI;Domingo
2021-12-06;SI;Lunes
2021-12-07;NO;Martes
2021-12-08;SI;Miercoles
2021-12-09;NO;Jueves
2021-12-10;NO;Viernes
2021-12-11;NO;Sabado
2021-12-12;SI;Domingo
2021-12-13;NO;Lunes
2021-12-14;NO;Martes
2021-12-15;NO;Miercoles
2021-12-16;NO;Jueves
2021-12-17;NO;Viernes
2021-12-18;NO;Sabado
2021-12-19;SI;Domingo
2021-12-20;NO;Lunes
2021-12-21;NO;Martes
2021-12-22;NO;Miercoles
2021-12-23;NO;Jueves
2021-12-24;NO;Viernes
2021-12-25;SI;Sabado
2021-12-26;NO;Domingo
2021-12-27;NO;Lunes
2021-12-28;NO;Martes
2021-12-29;NO;Miercoles
2021-12-30;NO;Jueves
2021-12-31;NO;Viernes
2022-01-01;SI;Sabado
2022-01-02;SI;Domingo
2022-01-03;NO;Lunes
2022-01-04;NO;Martes
2022-01-05;NO;Miercoles
2022-01-06;SI;Jueves
2022-01-07;NO;Viernes
2022-01-08;NO;Sabado
2022-01-09;SI;Domingo
2022-01-10;NO;Lunes
2022-01-11;NO;Martes
2022-01-12;NO;Miercoles
2022-01-13;NO;Jueves
2022-01-14;NO;Viernes
2022-01-15;NO;Sabado
2022-01-16;SI;Domingo
2022-01-17;NO;Lunes
2022-01-18;NO;Martes
2022-01-19;NO;Miercoles
2022-01-20;NO;Jueves
2022-01-21;NO;Viernes
2022-01-22;NO;Sabado
2022-01-23;SI;Domingo
2022-01-24;NO;Lunes
2022-01-25;NO;Martes
2022-01-26;NO;Miercoles
2022-01-27;NO;Jueves
2022-01-28;NO;Viernes
2022-01-29;NO;Sabado
2022-01-30;SI;Domingo
2022-01-31;NO;Lunes
2022-02-01;NO;Martes
2022-02-02;NO;Miercoles
2022-02-03;NO;Jueves
2022-02-04;NO;Viernes
2022-02-05;NO;Sabado
2022-02-06;SI;Domingo
2022-02-07;NO;Lunes
2022-02-08;NO;Martes
2022-02-09;NO;Miercoles
2022-02-10;NO;Jueves
2022-02-11;NO;Viernes
2022-02-12;NO;Sabado
2022-02-13;SI;Domingo
2022-02-14;NO;Lunes
2022-02-15;NO;Martes
2022-02-16;NO;Miercoles
2022-02-17;NO;Jueves
2022-02-18;NO;Viernes
2022-02-19;NO;Sabado
2022-02-20;SI;Domingo
2022-02-21;NO;Lunes
2022-02-22;NO;Martes
2022-02-23;NO;Miercoles
2022-02-24;NO;Jueves
2022-02-25;NO;Viernes
2022-02-26;NO;Sabado
2022-02-27;SI;Domingo
2022-02-28;NO;Lunes
2022-03-01;NO;Martes
2022-03-02;NO;Miercoles
2022-03-03;NO;Jueves
2022-03-04;NO;Viernes
2022-03-05;NO;Sabado
2022-03-06;SI;Domingo
2022-03-07;NO;Lunes
2022-03-08;NO;Martes
2022-03-09;NO;Miercoles
2022-03-10;NO;Jueves
2022-03-11;NO;Viernes
2022-03-12;NO;Sabado
2022-03-13;SI;Domingo
2022-03-14;NO;Lunes
2022-03-15;NO;Martes
2022-03-16;NO;Miercoles
2022-03-17;NO;Jueves
2022-03-18;NO;Viernes
2022-03-19;NO;Sabado
2022-03-20;SI;Domingo
2022-03-21;NO;Lunes
2022-03-22;NO;Martes
2022-03-23;NO;Miercoles
2022-03-24;NO;Jueves
2022-03-25;NO;Viernes
2022-03-26;NO;Sabado
2022-03-27;SI;Domingo
2022-03-28;NO;Lunes
2022-03-29;NO;Martes
2022-03-30;NO;Miercoles
2022-03-31;NO;Jueves
2022-04-01;NO;Viernes
2022-04-02;NO;Sabado
2022-04-03;SI;Domingo
2022-04-04;NO;Lunes
2022-04-05;NO;Martes
2022-04-06;NO;Miercoles
2022-04-07;NO;Jueves
2022-04-08;NO;Viernes
2022-04-09;NO;Sabado
2022-04-10;SI;Domingo
2022-04-11;NO;Lunes
2022-04-12;NO;Martes
2022-04-13;NO;Miercoles
2022-04-14;SI;Jueves
2022-04-15;SI;Viernes
2022-04-16;NO;Sabado
2022-04-17;SI;Domingo
2022-04-18;NO;Lunes
2022-04-19;NO;Martes
2022-04-20;NO;Miercoles
2022-04-21;NO;Jueves
2022-04-22;NO;Viernes
2022-04-23;NO;Sabado
2022-04-24;SI;Domingo
2022-04-25;NO;Lunes
2022-04-26;NO;Martes
2022-04-27;NO;Miercoles
2022-04-28;NO;Jueves
2022-04-29;NO;Viernes
2022-04-30;NO;Sabado
2022-05-01;SI;Domingo
2022-05-02;SI;Lunes
2022-05-03;NO;Martes
2022-05-04;NO;Miercoles
2022-05-05;NO;Jueves
2022-05-06;NO;Viernes
2022-05-07;NO;Sabado
2022-05-08;SI;Domingo
2022-05-09;NO;Lunes
2022-05-10;NO;Martes
2022-05-11;NO;Miercoles
2022-05-12;NO;Jueves
2022-05-13;NO;Viernes
2022-05-14;NO;Sabado
2022-05-15;SI;Domingo
2022-05-16;SI;Lunes
2022-05-17;NO;Martes
2022-05-18;NO;Miercoles
2022-05-19;NO;Jueves
2022-05-20;NO;Viernes
2022-05-21;NO;Sabado
2022-05-22;SI;Domingo
2022-05-23;NO;Lunes
2022-05-24;NO;Martes
2022-05-25;NO;Miercoles
2022-05-26;SI;Jueves
2022-05-27;NO;Viernes
2022-05-28;NO;Sabado
2022-05-29;SI;Domingo
2022-05-30;NO;Lunes
2022-05-31;NO;Martes
2022-06-01;NO;Miercoles
2022-06-02;NO;Jueves
2022-06-03;NO;Viernes
2022-06-04;NO;Sabado
2022-06-05;SI;Domingo
2022-06-06;SI;Lunes
2022-06-07;NO;Martes
2022-06-08;NO;Miercoles
2022-06-09;NO;Jueves
2022-06-10;NO;Viernes
2022-06-11;NO;Sabado
2022-06-12;SI;Domingo
2022-06-13;NO;Lunes
2022-06-14;NO;Martes
2022-06-15;NO;Miercoles
2022-06-16;NO;Jueves
2022-06-17;NO;Viernes
2022-06-18;NO;Sabado
2022-06-19;SI;Domingo
2022-06-20;NO;Lunes
2022-06-21;NO;Martes
2022-06-22;NO;Miercoles
2022-06-23;NO;Jueves
2022-06-24;NO;Viernes
2022-06-25;NO;Sabado
2022-06-26;SI;Domingo
2022-06-27;NO;Lunes
2022-06-28;NO;Martes
2022-06-29;NO;Miercoles
2022-06-30;NO;Jueves
2022-07-01;NO;Viernes
2022-07-02;NO;Sabado
2022-07-03;SI;Domingo
2022-07-04;NO;Lunes
2022-07-05;NO;Martes
2022-07-06;NO;Miercoles
2022-07-07;NO;Jueves
2022-07-08;NO;Viernes
2022-07-09;NO;Sabado
2022-07-10;SI;Domingo
2022-07-11;NO;Lunes
2022-07-12;NO;Martes
2022-07-13;NO;Miercoles
2022-07-14;NO;Jueves
2022-07-15;NO;Viernes
2022-07-16;NO;Sabado
2022-07-17;SI;Domingo
2022-07-18;NO;Lunes
2022-07-19;NO;Martes
2022-07-20;NO;Miercoles
2022-07-21;NO;Jueves
2022-07-22;NO;Viernes
2022-07-23;NO;Sabado
2022-07-24;SI;Domingo
2022-07-25;SI;Lunes
2022-07-26;NO;Martes
2022-07-27;NO;Miercoles
2022-07-28;NO;Jueves
2022-07-29;NO;Viernes
2022-07-30;NO;Sabado
2022-07-31;SI;Domingo
2022-08-01;NO;Lunes
2022-08-02;NO;Martes
2022-08-03;NO;Miercoles
2022-08-04;NO;Jueves
2022-08-05;NO;Viernes
2022-08-06;NO;Sabado
2022-08-07;SI;Domingo
2022-08-08;NO;Lunes
2022-08-09;NO;Martes
2022-08-10;NO;Miercoles
2022-08-11;NO;Jueves
2022-08-12;NO;Viernes
2022-08-13;NO;Sabado
2022-08-14;SI;Domingo
2022-08-15;SI;Lunes
2022-08-16;NO;Martes
2022-08-17;NO;Miercoles
2022-08-18;NO;Jueves
2022-08-19;NO;Viernes
2022-08-20;NO;Sabado
2022-08-21;SI;Domingo
2022-08-22;NO;Lunes
2022-08-23;NO;Martes
2022-08-24;NO;Miercoles
2022-08-25;NO;Jueves
2022-08-26;NO;Viernes
2022-08-27;NO;Sabado
2022-08-28;SI;Domingo
2022-08-29;NO;Lunes
2022-08-30;NO;Martes
2022-08-31;NO;Miercoles
2022-09-01;NO;Jueves
2022-09-02;NO;Viernes
2022-09-03;NO;Sabado
2022-09-04;SI;Domingo
2022-09-05;NO;Lunes
2022-09-06;NO;Martes
2022-09-07;NO;Miercoles
2022-09-08;NO;Jueves
2022-09-09;NO;Viernes
2022-09-10;NO;Sabado
2022-09-11;SI;Domingo
2022-09-12;NO;Lunes
2022-09-13;NO;Martes
2022-09-14;NO;Miercoles
2022-09-15;NO;Jueves
2022-09-16;NO;Viernes
2022-09-17;NO;Sabado
2022-09-18;SI;Domingo
2022-09-19;NO;Lunes
2022-09-20;NO;Martes
2022-09-21;NO;Miercoles
2022-09-22;NO;Jueves
2022-09-23;NO;Viernes
2022-09-24;NO;Sabado
2022-09-25;SI;Domingo
2022-09-26;NO;Lunes
2022-09-27;NO;Martes
2022-09-28;NO;Miercoles
2022-09-29;NO;Jueves
2022-09-30;NO;Viernes
2022-10-01;NO;Sabado
2022-10-02;SI;Domingo
2022-10-03;NO;Lunes
2022-10-04;NO;Martes
2022-10-05;NO;Miercoles
2022-10-06;NO;Jueves
2022-10-07;NO;Viernes
2022-10-08;NO;Sabado
2022-10-09;SI;Domingo
2022-10-10;NO;Lunes
2022-10-11;NO;Martes
2022-10-12;SI;Miercoles
2022-10-13;NO;Jueves
2022-10-14;NO;Viernes
2022-10-15;NO;Sabado
2022-10-16;SI;Domingo
2022-10-17;NO;Lunes
2022-10-18;NO;Martes
2022-10-19;NO;Miercoles
2022-10-20;NO;Jueves
2022-10-21;NO;Viernes
2022-10-22;NO;Sabado
2022-10-23;SI;Domingo
2022-10-24;NO;Lunes
2022-10-25;NO;Martes
2022-10-26;NO;Miercoles
2022-10-27;NO;Jueves
2022-10-28;NO;Viernes
2022-10-29;NO;Sabado
2022-10-30;SI;Domingo
2022-10-31;NO;Lunes
2022-11-01;SI;Martes
2022-11-02;NO;Miercoles
2022-11-03;NO;Jueves
2022-11-04;NO;Viernes
2022-11-05;NO;Sabado
2022-11-06;SI;Domingo
2022-11-07;NO;Lunes
2022-11-08;NO;Martes
2022-11-09;SI;Miercoles
2022-11-10;NO;Jueves
2022-11-11;NO;Viernes
2022-11-12;NO;Sabado
2022-11-13;SI;Domingo
2022-11-14;NO;Lunes
2022-11-15;NO;Martes
2022-11-16;NO;Miercoles
2022-11-17;NO;Jueves
2022-11-18;NO;Viernes
2022-11-19;NO;Sabado
2022-11-20;SI;Domingo
2022-11-21;NO;Lunes
2022-11-22;NO;Martes
2022-11-23;NO;Miercoles
2022-11-24;NO;Jueves
2022-11-25;NO;Viernes
2022-11-26;NO;Sabado
2022-11-27;SI;Domingo
2022-11-28;NO;Lunes
2022-11-29;NO;Martes
2022-11-30;NO;Miercoles
2022-12-01;NO;Jueves
2022-12-02;NO;Viernes
2022-12-03;NO;Sabado
2022-12-04;SI;Domingo
2022-12-05;NO;Lunes
2022-12-06;SI;Martes
2022-12-07;NO;Miercoles
2022-12-08;SI;Jueves
2022-12-09;NO;Viernes
2022-12-10;NO;Sabado
2022-12-11;SI;Domingo
2022-12-12;NO;Lunes
2022-12-13;NO;Martes
2022-12-14;NO;Miercoles
2022-12-15;NO;Jueves
2022-12-16;NO;Viernes
2022-12-17;NO;Sabado
2022-12-18;SI;Domingo
2022-12-19;NO;Lunes
2022-12-20;NO;Martes
2022-12-21;NO;Miercoles
2022-12-22;NO;Jueves
2022-12-23;NO;Viernes
2022-12-24;NO;Sabado
2022-12-25;SI;Domingo
2022-12-26;SI;Lunes
2022-12-27;NO;Martes
2022-12-28;NO;Miercoles
2022-12-29;NO;Jueves
2022-12-30;NO;Viernes
2022-12-31;NO;Sabado
